x:radian,y:sine
0,0
0.017453292,0.017452406
0.034906584,0.034899496
0.052359877,0.052335955
0.069813169,0.069756473
0.087266461,0.087155741
0.104719753,0.104528461
0.122173046,0.121869341
0.139626338,0.139173099
0.15707963,0.156434462
0.174532922,0.173648175
0.191986214,0.190808992
0.209439507,0.207911687
0.226892799,0.224951051
0.244346091,0.241921892
0.261799383,0.258819041
0.279252676,0.275637351
0.296705968,0.2923717
0.31415926,0.309016989
0.331612552,0.325568149
0.349065844,0.342020138
0.366519137,0.358367944
0.383972429,0.374606587
0.401425721,0.390731122
0.418879013,0.406736637
0.436332306,0.422618255
0.453785598,0.43837114
0.47123889,0.453990493
0.488692182,0.469471555
0.506145474,0.484809613
0.523598767,0.499999992
0.541052059,0.515038067
0.558505351,0.529919256
0.575958643,0.544639027
0.593411936,0.559192895
0.610865228,0.573576428
0.62831852,0.587785244
0.645771812,0.601815014
0.663225104,0.615661466
0.680678397,0.629320382
0.698131689,0.642787601
0.715584981,0.65605902
0.733038273,0.669130597
0.750491566,0.681998351
0.767944858,0.694658361
0.78539815,0.707106772
0.802851442,0.719339791
0.820304734,0.731353692
0.837758027,0.743144816
0.855211319,0.754709571
0.872664611,0.766044434
0.890117903,0.777145952
0.907571196,0.788010744
0.925024488,0.798635501
0.94247778,0.809016985
0.959931072,0.819152035
0.977384364,0.829037563
0.994837657,0.838670559
1.012290949,0.848048087
1.029744241,0.857167292
1.047197533,0.866025395
1.064650826,0.874619698
1.082104118,0.882947584
1.09955741,0.891006516
1.117010702,0.898794038
1.134463994,0.906307779
1.151917287,0.91354545
1.169370579,0.920504846
1.186823871,0.927183847
1.204277163,0.933580419
1.221730456,0.939692614
1.239183748,0.945518569
1.25663704,0.95105651
1.274090332,0.95630475
1.291543624,0.96126169
1.308996917,0.965925821
1.326450209,0.970295721
1.343903501,0.97437006
1.361356793,0.978147596
1.378810086,0.981627179
1.396263378,0.984807749
1.41371667,0.987688337
1.431169962,0.990268065
1.448623254,0.992546149
1.466076547,0.994521893
1.483529839,0.996194696
1.500983131,0.997564048
1.518436423,0.998629533
1.535889716,0.999390826
1.553343008,0.999847695
1.5707963,1
1.588249592,0.999847696
1.605702884,0.999390828
1.623156177,0.998629536
1.640609469,0.997564052
1.658062761,0.996194701
1.675516053,0.994521898
1.692969346,0.992546155
1.710422638,0.990268073
1.72787593,0.987688345
1.745329222,0.984807758
1.762782514,0.981627189
1.780235807,0.978147607
1.797689099,0.974370072
1.815142391,0.970295734
1.832595683,0.965925834
1.850048976,0.961261705
1.867502268,0.956304765
1.88495556,0.951056526
1.902408852,0.945518586
1.919862144,0.939692632
1.937315437,0.933580438
1.954768729,0.927183867
1.972222021,0.920504867
1.989675313,0.913545471
2.007128606,0.906307802
2.024581898,0.898794061
2.04203519,0.89100654
2.059488482,0.882947609
2.076941774,0.874619724
2.094395067,0.866025422
2.111848359,0.857167319
2.129301651,0.848048115
2.146754943,0.838670588
2.164208236,0.829037593
2.181661528,0.819152066
2.19911482,0.809017016
2.216568112,0.798635533
2.234021404,0.788010777
2.251474697,0.777145986
2.268927989,0.766044468
2.286381281,0.754709606
2.303834573,0.743144852
2.321287866,0.731353729
2.338741158,0.719339828
2.35619445,0.70710681
2.373647742,0.6946584
2.391101034,0.68199839
2.408554327,0.669130637
2.426007619,0.65605906
2.443460911,0.642787642
2.460914203,0.629320424
2.478367496,0.615661509
2.495820788,0.601815057
2.51327408,0.587785287
2.530727372,0.573576472
2.548180664,0.55919294
2.565633957,0.544639072
2.583087249,0.529919302
2.600540541,0.515038113
2.617993833,0.500000039
2.635447126,0.48480966
2.652900418,0.469471603
2.67035371,0.45399054
2.687807002,0.438371188
2.705260294,0.422618304
2.722713587,0.406736686
2.740166879,0.390731172
2.757620171,0.374606637
2.775073463,0.358367994
2.792526756,0.342020188
2.809980048,0.3255682
2.82743334,0.30901704
2.844886632,0.292371751
2.862339924,0.275637403
2.879793217,0.258819093
2.897246509,0.241921944
2.914699801,0.224951103
2.932153093,0.20791174
2.949606386,0.190809045
2.967059678,0.173648228
2.98451297,0.156434515
3.001966262,0.139173152
3.019419554,0.121869395
3.036872847,0.104528515
3.054326139,0.087155795
3.071779431,0.069756526
3.089232723,0.052336009
3.106686016,0.03489955
3.124139308,0.01745246
3.1415926,5.36E-08
3.159045892,-0.017452353
3.176499184,-0.034899443
3.193952477,-0.052335902
3.211405769,-0.069756419
3.228859061,-0.087155688
3.246312353,-0.104528408
3.263765646,-0.121869288
3.281218938,-0.139173046
3.29867223,-0.156434409
3.316125522,-0.173648122
3.333578814,-0.19080894
3.351032107,-0.207911635
3.368485399,-0.224950998
3.385938691,-0.24192184
3.403391983,-0.258818989
3.420845276,-0.2756373
3.438298568,-0.292371649
3.45575186,-0.309016938
3.473205152,-0.325568098
3.490658444,-0.342020087
3.508111737,-0.358367894
3.525565029,-0.374606538
3.543018321,-0.390731073
3.560471613,-0.406736588
3.577924906,-0.422618206
3.595378198,-0.438371092
3.61283149,-0.453990445
3.630284782,-0.469471508
3.647738074,-0.484809566
3.665191367,-0.499999946
3.682644659,-0.515038021
3.700097951,-0.529919211
3.717551243,-0.544638982
3.735004536,-0.559192851
3.752457828,-0.573576384
3.76991112,-0.5877852
3.787364412,-0.601814972
3.804817704,-0.615661424
3.822270997,-0.62932034
3.839724289,-0.64278756
3.857177581,-0.656058979
3.874630873,-0.669130557
3.892084166,-0.681998312
3.909537458,-0.694658322
3.92699075,-0.707106734
3.944444042,-0.719339754
3.961897334,-0.731353656
3.979350627,-0.74314478
3.996803919,-0.754709535
4.014257211,-0.766044399
4.031710503,-0.777145918
4.049163796,-0.788010711
4.066617088,-0.798635468
4.08407038,-0.809016953
4.101523672,-0.819152004
4.118976964,-0.829037533
4.136430257,-0.83867053
4.153883549,-0.848048059
4.171336841,-0.857167264
4.188790133,-0.866025368
4.206243426,-0.874619672
4.223696718,-0.882947559
4.24115001,-0.891006491
4.258603302,-0.898794014
4.276056594,-0.906307756
4.293509887,-0.913545428
4.310963179,-0.920504825
4.328416471,-0.927183827
4.345869763,-0.9335804
4.363323056,-0.939692595
4.380776348,-0.945518551
4.39822964,-0.951056493
4.415682932,-0.956304734
4.433136224,-0.961261675
4.450589517,-0.965925807
4.468042809,-0.970295708
4.485496101,-0.974370048
4.502949393,-0.978147585
4.520402686,-0.981627169
4.537855978,-0.98480774
4.55530927,-0.987688328
4.572762562,-0.990268058
4.590215854,-0.992546142
4.607669147,-0.994521887
4.625122439,-0.996194691
4.642575731,-0.997564045
4.660029023,-0.998629531
4.677482316,-0.999390824
4.694935608,-0.999847694
4.7123889,-1
4.729842192,-0.999847697
4.747295484,-0.99939083
4.764748777,-0.998629539
4.782202069,-0.997564056
4.799655361,-0.996194705
4.817108653,-0.994521904
4.834561946,-0.992546162
4.852015238,-0.99026808
4.86946853,-0.987688354
4.886921822,-0.984807767
4.904375114,-0.981627199
4.921828407,-0.978147618
4.939281699,-0.974370084
4.956734991,-0.970295747
4.974188283,-0.965925848
4.991641576,-0.961261719
5.009094868,-0.956304781
5.02654816,-0.951056543
5.044001452,-0.945518604
5.061454744,-0.93969265
5.078908037,-0.933580458
5.096361329,-0.927183887
5.113814621,-0.920504888
5.131267913,-0.913545493
5.148721206,-0.906307824
5.166174498,-0.898794085
5.18362779,-0.891006564
5.201081082,-0.882947635
5.218534374,-0.87461975
5.235987667,-0.866025448
5.253440959,-0.857167347
5.270894251,-0.848048144
5.288347543,-0.838670617
5.305800836,-0.829037623
5.323254128,-0.819152096
5.34070742,-0.809017048
5.358160712,-0.798635565
