x:radian,y:sine,y'
0,0,0.12976578
0.017453292,0.017452406,0.13264452
0.034906584,0.034899496,0.13664852
0.052359877,0.052335955,0.14192781
0.069813169,0.069756473,0.14776188
0.087266461,0.087155741,0.15497279
0.104719753,0.104528461,0.16247302
0.122173046,0.121869341,0.1704808
0.139626338,0.139173099,0.1822752
0.15707963,0.156434462,0.19636592
0.174532922,0.173648175,0.2124174
0.191986214,0.190808992,0.22952837
0.209439507,0.207911687,0.24726932
0.226892799,0.224951051,0.26545045
0.244346091,0.241921892,0.28413773
0.261799383,0.258819041,0.30260062
0.279252676,0.275637351,0.32139683
0.296705968,0.2923717,0.3400204
0.31415926,0.309016989,0.35825425
0.331612552,0.325568149,0.37618735
0.349065844,0.342020138,0.3938077
0.366519137,0.358367944,0.41110387
0.383972429,0.374606587,0.4280662
0.401425721,0.390731122,0.4446858
0.418879013,0.406736637,0.46095532
0.436332306,0.422618255,0.47686833
0.453785598,0.43837114,0.49241945
0.47123889,0.453990493,0.5076045
0.488692182,0.469471555,0.52227473
0.506145474,0.484809613,0.53642887
0.523598767,0.499999992,0.55007845
0.541052059,0.515038067,0.56337
0.558505351,0.529919256,0.5763041
0.575958643,0.544639027,0.58888185
0.593411936,0.559192895,0.6011061
0.610865228,0.573576428,0.61291265
0.62831852,0.587785244,0.6242226
0.645771812,0.601815014,0.6351969
0.663225104,0.615661466,0.6458408
0.680678397,0.629320382,0.6561563
0.698131689,0.642787601,0.66614777
0.715584981,0.65605902,0.67582107
0.733038273,0.669130597,0.6851822
0.750491566,0.681998351,0.6942377
0.767944858,0.694658361,0.7029942
0.78539815,0.707106772,0.7114587
0.802851442,0.719339791,0.7195389
0.820304734,0.731353692,0.7272792
0.837758027,0.743144816,0.73475367
0.855211319,0.754709571,0.7419693
0.872664611,0.766044434,0.7489334
0.890117903,0.777145952,0.75565314
0.907571196,0.788010744,0.76213574
0.925024488,0.798635501,0.7683211
0.94247778,0.809016985,0.77427834
0.959931072,0.819152035,0.7800206
0.977384364,0.829037563,0.78555477
0.994837657,0.838670559,0.7908878
1.012290949,0.848048087,0.7960261
1.029744241,0.857167292,0.8009764
1.047197533,0.866025395,0.8057452
1.064650826,0.874619698,0.8103386
1.082104118,0.882947584,0.8147629
1.09955741,0.891006516,0.8190242
1.117010702,0.898794038,0.82312804
1.134463994,0.906307779,0.8270801
1.151917287,0.91354545,0.8308862
1.169370579,0.920504846,0.83455116
1.186823871,0.927183847,0.83808064
1.204277163,0.933580419,0.841372
1.221730456,0.939692614,0.8445083
1.239183748,0.945518569,0.8473466
1.25663704,0.95105651,0.8499749
1.274090332,0.95630475,0.85242563
1.291543624,0.96126169,0.85470515
1.308996917,0.965925821,0.8568941
1.326450209,0.970295721,0.85899556
1.343903501,0.97437006,0.86101276
1.361356793,0.978147596,0.8629484
1.378810086,0.981627179,0.86480564
1.396263378,0.984807749,0.8665872
1.41371667,0.987688337,0.86829525
1.431169962,0.990268065,0.86993307
1.448623254,0.992546149,0.8715026
1.466076547,0.994521893,0.8730017
1.483529839,0.996194696,0.8743096
1.500983131,0.997564048,0.87555754
1.518436423,0.998629533,0.87674814
1.535889716,0.999390826,0.87788284
1.553343008,0.999847695,0.87896365
1.5707963,1,0.87999207
1.588249592,0.999847696,0.8809699
1.605702884,0.999390828,0.8817693
1.623156177,0.998629536,0.8825199
1.640609469,0.997564052,0.8832255
1.658062761,0.996194701,0.8838876
1.675516053,0.994521898,0.8843809
1.692969346,0.992546155,0.8829857
1.710422638,0.990268073,0.88014877
1.72787593,0.987688345,0.8772104
1.745329222,0.984807758,0.8741674
1.762782514,0.981627189,0.87101686
1.780235807,0.978147607,0.86775506
1.797689099,0.974370072,0.8643792
1.815142391,0.970295734,0.8608857
1.832595683,0.965925834,0.85727096
1.850048976,0.961261705,0.85353136
1.867502268,0.956304765,0.8496637
1.88495556,0.951056526,0.8456635
1.902408852,0.945518586,0.8415276
1.919862144,0.939692632,0.83725196
1.937315437,0.933580438,0.8328327
1.954768729,0.927183867,0.8282656
1.972222021,0.920504867,0.8235467
1.989675313,0.913545471,0.81867206
2.007128606,0.906307802,0.81363755
2.024581898,0.898794061,0.80843854
2.04203519,0.89100654,0.8030711
2.059488482,0.882947609,0.7975307
2.076941774,0.874619724,0.7918132
2.094395067,0.866025422,0.7859141
2.111848359,0.857167319,0.77982897
2.129301651,0.848048115,0.77355343
2.146754943,0.838670588,0.7670831
2.164208236,0.829037593,0.76041377
2.181661528,0.819152066,0.7535406
2.19911482,0.809017016,0.74645936
2.216568112,0.798635533,0.73916614
2.234021404,0.788010777,0.73165613
2.251474697,0.777145986,0.7239253
2.268927989,0.766044468,0.7159694
2.286381281,0.754709606,0.7077846
2.303834573,0.743144852,0.6993667
2.321287866,0.731353729,0.6907121
2.338741158,0.719339828,0.68181664
2.35619445,0.70710681,0.67267704
2.373647742,0.6946584,0.6632902
2.391101034,0.68199839,0.65365225
2.408554327,0.669130637,0.64376026
2.426007619,0.65605906,0.6336118
2.443460911,0.642787642,0.623204
2.460914203,0.629320424,0.6125348
2.478367496,0.615661509,0.6016018
2.495820788,0.601815057,0.5904034
2.51327408,0.587785287,0.57893807
2.530727372,0.573576472,0.5672044
2.548180664,0.55919294,0.55520254
2.565633957,0.544639072,0.5429312
2.583087249,0.529919302,0.53039056
2.600540541,0.515038113,0.5175814
2.617993833,0.500000039,0.50450385
2.635447126,0.48480966,0.49115968
2.652900418,0.469471603,0.47755033
2.67035371,0.45399054,0.4636781
2.687807002,0.438371188,0.4495453
2.705260294,0.422618304,0.43515548
2.722713587,0.406736686,0.42051196
2.740166879,0.390731172,0.40561906
2.757620171,0.374606637,0.3904812
2.775073463,0.358367994,0.37510362
2.792526756,0.342020188,0.35949218
2.809980048,0.3255682,0.3436528
2.82743334,0.30901704,0.32759264
2.844886632,0.292371751,0.31131873
2.862339924,0.275637403,0.29483846
2.879793217,0.258819093,0.2781608
2.897246509,0.241921944,0.2612938
2.914699801,0.224951103,0.24424708
2.932153093,0.20791174,0.22703028
2.949606386,0.190809045,0.20965369
2.967059678,0.173648228,0.1921277
2.98451297,0.156434515,0.17446318
3.001966262,0.139173152,0.15667193
3.019419554,0.121869395,0.13876471
3.036872847,0.104528515,0.120754525
3.054326139,0.087155795,0.10265322
3.071779431,0.069756526,0.08447304
3.089232723,0.052336009,0.06622726
3.106686016,0.03489955,0.047928683
3.124139308,0.01745246,0.029590396
3.1415926,5.36E-08,0.011225479
3.159045892,-0.017452353,-0.007153213
3.176499184,-0.034899443,-0.025531348
3.193952477,-0.052335902,-0.04389672
3.211405769,-0.069756419,-0.062235303
3.228859061,-0.087155688,-0.080534495
3.246312353,-0.104528408,-0.098780856
3.263765646,-0.121869288,-0.116962045
3.281218938,-0.139173046,-0.13506475
3.29867223,-0.156434409,-0.15307716
3.316125522,-0.173648122,-0.1709869
3.333578814,-0.19080894,-0.18878223
3.351032107,-0.207911635,-0.20645115
3.368485399,-0.224950998,-0.22398311
3.385938691,-0.24192184,-0.24136697
3.403391983,-0.258818989,-0.25859258
3.420845276,-0.2756373,-0.27564964
3.438298568,-0.292371649,-0.29252914
3.45575186,-0.309016938,-0.30922168
3.473205152,-0.325568098,-0.32571885
3.490658444,-0.342020087,-0.3420128
3.508111737,-0.358367894,-0.35809556
3.525565029,-0.374606538,-0.37396014
3.543018321,-0.390731073,-0.3896002
3.560471613,-0.406736588,-0.40500975
3.577924906,-0.422618206,-0.42018336
3.595378198,-0.438371092,-0.43511546
3.61283149,-0.453990445,-0.44980216
3.630284782,-0.469471508,-0.46423882
3.647738074,-0.484809566,-0.47842294
3.665191367,-0.499999946,-0.4923511
3.682644659,-0.515038021,-0.50602025
3.700097951,-0.529919211,-0.5194291
3.717551243,-0.544638982,-0.5325753
3.735004536,-0.559192851,-0.5454581
3.752457828,-0.573576384,-0.55807716
3.76991112,-0.5877852,-0.5704313
3.787364412,-0.601814972,-0.5825213
3.804817704,-0.615661424,-0.59434676
3.822270997,-0.62932034,-0.60590935
3.839724289,-0.64278756,-0.61720973
